,word,count,mean
1085,unfulfilling,1,0.6699525840545725
237,cursory,1,0.6540077087001898
679,national,1,0.649671361754935
338,escapism,1,0.645418346855071
854,request,1,0.6310192188699275
1074,tweaks,1,0.6297782643629158
323,engaged,1,0.6283905527443062
1104,vietnam,1,0.6255981245039419
652,mildly,1,0.6227938737766386
274,dies,1,0.5724592091923857
153,building,1,0.568818424093406
1005,teenage,1,0.5594177486092632
845,reload,1,0.535481127094689
810,project,1,0.535466907588316
1008,tense,1,0.5012590340709708
971,strangely,1,0.49002438135335197
113,bits,1,0.4633575611531473
706,ok,30,0.45738835144584766
1127,weakest,1,0.45058202706314415
365,face,1,0.42630040942963254
770,places,1,0.39112571298615767
843,release,1,0.38505265720621196
801,previous,3,0.37524961955173813
937,sounds,3,0.3730196987313277
484,helicopters,2,0.3714754810467149
140,brain,3,0.3711981975327041
803,prime,7,0.3708915899644852
607,lit,1,0.37011484262320726
905,shame,1,0.36528793495068884
276,different,1,0.3640480856309362
367,faffy,1,0.36209152245726034
148,brought,2,0.35825103167922434
227,cover,2,0.35458964967823614
782,point,2,0.34778019592056064
411,follow,5,0.34637764509922314
121,bluray,2,0.34341497115352293
252,delivery,2,0.3419675666744573
369,fairly,2,0.3370420928099248
1075,twice,2,0.3283362999341985
1119,watchable,9,0.32738741818023315
1092,used,1,0.3258118066601443
403,fine,4,0.3239572831002695
112,bit,38,0.3223706144709899
469,hanks,1,0.3212289524071427
659,mistake,1,0.31635238124121695
833,real,3,0.3120263312171138
745,pathetic,1,0.3118955425124781
278,dimly,1,0.3109823929233352
538,interspersed,1,0.3086095785781099
866,run,1,0.3056951862042415
247,decent,9,0.3009944338151383
460,gritty,1,0.30078541536268366
391,felt,6,0.29798727636435185
128,bored,1,0.2850205255537353
316,em,1,0.2825765323973048
851,repeat,2,0.2822060896882081
583,left,2,0.27745449048023646
174,character,3,0.27442079704425415
805,problem,1,0.2735246956483623
286,disappointment,1,0.2728388411711915
528,inconclusive,1,0.2696170189869186
473,hard,1,0.2644643085317853
615,london,2,0.26286811289275686
1108,visually,2,0.2618710213136552
218,convincing,2,0.25804869005135783
78,average,9,0.2562850451060583
1051,tom,6,0.2547011714689911
510,humour,3,0.2534480258543142
834,reality,2,0.25089019523924255
