,word,count,mean
1172,trillion,1,0.4431788908187942
253,crap,2,0.25121553560967774
1095,sucked,1,0.23763197488327503
107,awful,11,0.23673086806259677
119,barely,3,0.2251897300395261
968,rubbish,15,0.22356111640383586
1056,stallone,2,0.21789243482506082
1215,useless,1,0.21619635845122273
818,pants,1,0.20867256891969385
827,pathetic,2,0.2078666539466378
1125,terrible,16,0.20478046447443968
1088,stupid,6,0.19839348198144338
144,bland,3,0.1972873037439861
910,questionable,1,0.1953632491635709
923,reccomend,1,0.19221825247416027
658,letterbox,1,0.18052229217211496
168,brainless,1,0.18040926906999
774,nonsensical,5,0.17809400466990513
331,dross,2,0.17622856537806186
528,heads,1,0.17316548329186765
1246,waste,22,0.1725330834304202
1032,sleep,1,0.169285554459829
1006,send,1,0.16767089575453453
1304,youdavid,1,0.16571399937664558
718,mess,4,0.16329022652638053
159,boring,12,0.15918879765724017
1,10,1,0.15880613921815143
260,cup,1,0.15814379723185473
1021,shocking,2,0.15775092240651947
938,reilly,1,0.15670150847320707
867,politician,1,0.15525840093399662
333,dull,7,0.15450453418286317
330,drivel,2,0.15446616544913508
869,poor,34,0.1510123293062835
1198,understand,6,0.15097756973743748
769,nod,1,0.15096038693581246
284,demons,1,0.14977619428458905
65,amateur,1,0.14435825214384299
618,jumps,3,0.1409744349729056
476,generous,1,0.13917899679244844
497,gratuitous,1,0.13840930546703334
856,players,1,0.13791453724942082
800,order,1,0.1378680016934612
217,cliche,6,0.13759428377262353
73,angels,1,0.13697827143874608
419,fantasy,1,0.13499604599560253
484,god,2,0.13422513375622616
409,fairness,1,0.1337746307617945
1102,superior,3,0.13375655208979823
1295,writing,1,0.13366546217185674
218,cliches,4,0.13349018785599037
125,bearable,1,0.13336674613295701
994,script,21,0.13277375757116686
630,killing,1,0.13266278632655268
245,continuous,1,0.1322632106855294
522,hate,4,0.13150971440111722
683,london,2,0.13123187674091674
732,missed,2,0.131068651531809
158,boredom,1,0.1303740354520628
957,ridiculous,7,0.13000455315927745
628,kill,4,0.12971647585363885
1307,zero,2,0.12959847437265826
1243,warned,1,0.1277771775958239
1247,wasted,7,0.12773008206868455
312,disappointing,7,0.12746886117626544
161,bother,7,0.1272679464642206
913,rated,1,0.12707102483942975
870,poorly,8,0.1268521723771051
965,routine,1,0.1242170240841952
313,disappointment,2,0.1241246803937017
733,missing,2,0.12271776413966021
523,hated,2,0.12219778163686515
190,cash,5,0.12088909240128787
789,okish,3,0.12079254919394751
852,planes,1,0.12058548234305923
1265,wife,4,0.1201255416030066
574,ideas,2,0.11968022275683073
915,read,9,0.11941250099334323
552,hollywood,1,0.11868362388302188
1020,shame,5,0.11841475515539904
1175,tripe,1,0.11833700547534975
772,nonexciting,1,0.11750511634669461
1280,words,5,0.1174890585150233
943,rent,2,0.11713215216532644
382,exceptional,1,0.11705598624631866
279,deliberately,1,0.1169755820462594
205,cheap,3,0.11599273524461551
293,desperate,1,0.11595735042744494
203,charged,1,0.11574736597884092
901,public,1,0.1153231103610847
187,cardboard,1,0.11498030629109472
1169,travel,2,0.11496254834413192
235,complete,2,0.11493785593975708
546,hill,1,0.1147732722600655
220,close,1,0.11422503249266305
929,redeemed,1,0.1133319098512475
591,insult,1,0.11331100143309497
829,paying,1,0.11253093875120644
58,alas,1,0.1125292035714131
942,remember,4,0.11249510367514415
986,scenery,1,0.11202265376686714
936,region,1,0.11200106885848278
233,compared,1,0.11159124347797278
298,dialog,3,0.11111917112914464
1079,strange,1,0.11104461646589285
477,genre,1,0.11074851626172093
223,cohesive,1,0.11033693416721418
1188,tweaks,1,0.10900967778523417
108,awkward,1,0.10770002493282785
0,1,8,0.10719685067556874
375,essentially,1,0.1071265943655878
944,rented,2,0.10696943699396771
1242,warn,1,0.10683436787802314
120,bargain,1,0.10682181365958862
175,building,1,0.1063796207371094
681,lol,1,0.10609475262915352
91,asleep,5,0.10591588715576446
1260,whilst,3,0.10577505627767393
930,redeeming,1,0.10563322961764349
708,mean,2,0.10527444450777483
320,door,1,0.10522610992546899
814,paid,3,0.10500815909815757
864,pointless,3,0.10470312741780173
839,personal,2,0.10405770227058916
631,kills,3,0.10394554504445348
855,player,3,0.10302273774396342
974,sadly,1,0.10270380543365194
370,entire,4,0.10259177843524822
828,pay,2,0.10243621675846856
1218,utter,3,0.10240238134218858
274,dear,2,0.10220766544412431
335,dumb,4,0.10160010782612716
1224,veeeery,1,0.10077684286032777
791,older,2,0.10066046179965034
283,demogorgon,1,0.10060521080927154
728,minute,1,0.10057699826375975
993,screenplay,1,0.10037952854666467
3,12,4,0.09969869044305923
1217,usually,6,0.0991618266107206
696,low,4,0.09879593264792866
13,2049,2,0.09873797698304501
707,maybe,3,0.09848913243720442
510,gun,2,0.09808558357919184
