,word,count,mean
131,brilliant,15,0.31523074992014494
315,excellent,16,0.2814077235256783
572,loves,4,0.24450794038041343
48,amazing,7,0.24086735913196305
571,loved,20,0.20749554581204968
917,thank,2,0.18833809505491714
570,love,21,0.18195993641789693
130,brill,2,0.16490243387786513
412,great,85,0.15543173649954464
887,stunning,4,0.15490857135323816
340,fantastic,8,0.1548369241181247
418,groundhog,2,0.14757480163658465
339,fans,5,0.14694911292082766
298,enjoyed,34,0.14533962281019522
136,brought,1,0.14500017975328813
237,describe,1,0.13486593528500967
679,perfect,3,0.13378550197662
1009,wait,15,0.12924664980696815
1010,waited,1,0.12802770261023425
670,partner,1,0.1273041321085698
896,superb,5,0.12572676437540964
752,recommend,17,0.1253074268876094
238,described,1,0.1248418782574298
933,thoroughly,6,0.12185017914439357
726,product,1,0.12004270599464975
296,enjoy,20,0.11826813340911742
434,happy,2,0.11733874482077229
81,awesome,3,0.11596006983066735
414,greatest,2,0.11255799482191192
1060,worthy,1,0.10945592812567997
626,nicely,1,0.10872226358094035
316,exciting,2,0.1084772959432572
753,recommended,6,0.1076230930268301
328,fabulous,1,0.10497893470056786
625,nice,12,0.10437076986515782
66,arrived,2,0.10338969156939536
233,delivery,2,0.10281629052981503
994,uv,1,0.1017917771418894
373,follows,2,0.10089425575067437
31,actions,2,0.09881074507089413
30,action,80,0.09575292616730789
60,apes,1,0.09558399975661067
250,different,9,0.09251324621411773
223,daughters,1,0.09231720323748868
935,thriller,2,0.09200380695927574
754,red,2,0.09195337642507319
677,penny,1,0.09053436648901465
230,definitely,7,0.08965272436671985
297,enjoyable,20,0.08961377082519065
1011,waiting,2,0.08934076697830826
394,gift,1,0.08929811196777213
734,quality,2,0.08906070926978098
918,thanks,2,0.08844869451962828
524,kong,14,0.08777388364513627
901,surprisingly,1,0.0873310365825385
666,packed,3,0.08707598765998624
344,favourite,5,0.08683275740366021
815,seat,4,0.08672191421383109
722,price,3,0.08475908633642161
169,chapter,4,0.08407455269099158
27,absolutely,6,0.0822496883813747
871,steel,2,0.0803963210237946
207,couple,1,0.0791387875957404
355,films,20,0.07875907910924171
222,daughter,2,0.07873358475303396
447,highly,4,0.07845416646702016
295,engrossing,1,0.07737944360694163
206,count,1,0.07726105539371325
413,greater,2,0.07627505790282146
352,film,140,0.07566586675806097
400,good,109,0.07564046966142163
416,gripping,2,0.07448882160966412
181,classic,9,0.07445099174366011
304,epic,1,0.07346983408185016
189,collection,2,0.07136346901968908
338,fan,10,0.07082396929388944
370,follow,6,0.07026178564443268
35,adventure,2,0.06944564964381446
682,performances,1,0.06826794163074028
943,tin,1,0.06826596545837219
180,cinema,9,0.0678146583399286
371,followed,3,0.06776510015976189
468,hunger,6,0.06758812035801035
221,dark,7,0.06656681342271555
900,surprises,1,0.06562976557130774
282,edge,6,0.06505490145930563
852,sort,5,0.06472289485046374
758,refreshing,1,0.064703120132166
278,dvd,6,0.06438236815106126
67,art,1,0.06437694743054503
17,4,4,0.06365800421654759
1059,worth,24,0.06317244921052992
320,expectations,3,0.06246038263777623
480,impressive,2,0.06185459656586979
450,ho,1,0.06133769378509513
179,christmas,1,0.06119868158916053
252,digital,2,0.059107465532551515
467,humour,7,0.05881316675877203
521,kind,4,0.05836820304722056
547,likely,1,0.05812088558006374
461,hot,1,0.05797675585098523
37,advertised,1,0.05780375323394249
391,gerard,2,0.05770289095925112
783,role,1,0.05716244362376907
608,monsters,1,0.05706829094029597
397,glued,2,0.05656223564368541
514,keanu,2,0.05626337866684547
612,movie,66,0.056192909370364655
102,best,16,0.05504925050955336
824,sequel,8,0.05470142875011077
1003,viewing,2,0.054480796437332404
301,entertaining,10,0.05436591521802131
970,twist,3,0.05426531357411796
869,stay,2,0.053969253218248914
380,free,1,0.05371632881609438
710,popcorn,1,0.05361526229699885
41,age,1,0.0532975101559037
525,kongs,1,0.052981346427529254
737,quick,2,0.05263519584893902
225,days,2,0.051771068490924124
137,bruce,1,0.05140433120134759
263,distraction,1,0.05112556313768777
613,movies,12,0.05093968793652167
723,prime,2,0.050856002376760204
407,grab,1,0.050783744201490705
937,thrills,1,0.05036097567397449
385,funny,2,0.05014120602354702
191,come,6,0.04995868141725295
664,package,2,0.049912881488776456
1040,win,2,0.04986778878292275
826,set,4,0.049749206522294996
365,fit,2,0.049599022843297924
19,4k,2,0.04920788526845524
936,thrilling,1,0.04876540632421542
1056,worlds,1,0.04848613521148382
1002,viewed,1,0.04841330153642772
362,finish,4,0.04831076494335035
797,safely,1,0.04827722175859289
133,brings,1,0.04804956911199335
70,aspect,1,0.04796056131085367
841,slightly,4,0.0475571012401643
681,performance,2,0.04670292636584194
145,buy,5,0.04660923115745262
16,3rd,1,0.046273799793348384
144,butler,4,0.045730000552579086
98,beautiful,2,0.045262457506000824
1001,view,1,0.04513847332161631
132,bring,1,0.04495877576787751
785,round,3,0.04441233795816336
358,finally,1,0.04421250228835722
799,satisfying,1,0.044138298524793285
289,emotion,2,0.04402710531345856
1049,wonderful,1,0.043792832723449644
384,funnier,1,0.043522989254207264
