,word,count,mean
1166,trillion,1,0.8990363437633608
339,dr,1,0.7879318298526813
47,affects,1,0.589076454643298
548,hill,1,0.5501081175341642
422,fairness,1,0.5119965073076949
1092,superior,3,0.4879209147044817
300,demogorgon,1,0.4720550243057766
772,nonsensical,1,0.465194249285069
1088,sum,1,0.4475569569068271
887,productionthis,1,0.4125749183773765
125,barely,3,0.37913352731766264
924,redeemed,1,0.3755900402754904
804,outcome,1,0.3700113301133978
110,awful,11,0.35772156578893227
172,brainless,1,0.3532313569502411
816,pants,1,0.35175232940505763
1242,waste,22,0.3449474477389694
1212,useless,2,0.3387286598025491
529,hated,1,0.3347320203763402
37,accepted,1,0.32525478655496465
990,send,1,0.3181289222572837
1110,terrible,15,0.3002014844136893
605,interstellar,1,0.2965556164959854
297,deliberately,1,0.2942066180353934
735,mission,1,0.29088508993922024
959,rubbish,15,0.28439308497594634
104,avoid,5,0.27244627980609887
668,lines,1,0.26854053746506223
923,redeem,1,0.2683763015641425
721,messes,1,0.26483448886615535
528,hate,4,0.2539436457378492
1279,words,2,0.24946884996484947
1165,tried,3,0.2493714182006509
712,means,5,0.2473199141755281
1203,unnecessary,1,0.2441043736773337
228,cliches,2,0.2385360194268335
751,mum,1,0.23809770835041247
61,amateur,1,0.23660154561058996
181,building,2,0.23581023010861554
1178,turn,5,0.23404844918200346
162,boring,12,0.22800318994402755
773,nonstop,2,0.2237269668342566
1016,sleep,1,0.22282357985512033
957,routine,1,0.22190926408126874
1181,tweaks,1,0.21960371737646756
1077,stupid,4,0.21596539110587257
1208,unwatchable,1,0.21382113566604222
1260,whilst,3,0.2117434938280747
1243,wasted,7,0.20761423336448084
269,crap,1,0.2067287098158686
225,clearly,4,0.20624493458489226
645,lazy,1,0.20437795224172428
1175,try,3,0.20359273105443923
325,disappointing,6,0.20264250375461024
677,lol,1,0.19893764556231328
863,poor,33,0.195940364139214
346,drivel,2,0.19586151618978714
120,badly,2,0.19464479315935418
867,possibly,1,0.1940244846906058
226,clever,1,0.19344330521107764
0,1,6,0.19061241766916068
704,mash,1,0.18949144851493616
471,found,5,0.18914265642464836
2,12,3,0.18517904229326124
937,rented,1,0.18326038447542767
533,heads,1,0.18201297902377261
710,mean,4,0.179735410671077
1191,understand,5,0.1785867081948779
1169,trope,1,0.17532085548957074
720,mess,4,0.17507630219164572
621,jumps,1,0.17455996035994517
467,forget,4,0.17361775301493146
60,alternative,1,0.17317855892127537
1171,tropes,4,0.17304126266289352
1059,stopped,1,0.17172051334229593
1194,underused,1,0.17123786521434844
227,cliche,4,0.1709721576385324
349,dull,7,0.1699585550087766
935,rent,1,0.1694056832445768
732,minutes,15,0.16851301216109071
250,completely,5,0.16848587342085
161,boredom,1,0.16757918790935086
858,pointless,2,0.16668697551362194
1248,watered,1,0.16633259748495324
335,done,1,0.16213531453032473
980,script,18,0.16049985555561908
83,appeared,1,0.1603854270569952
791,older,2,0.15806027705853962
80,appalling,2,0.1528427838480973
277,cup,1,0.15079433233906187
596,inspiring,1,0.14886028608358823
551,hole,1,0.14346419418839673
913,reason,4,0.1427410912837575
117,bad,42,0.14180011709585957
574,idea,3,0.14054950424030285
817,paper,1,0.13957573018896186
84,appearing,1,0.13834876299545937
786,oh,7,0.13829393787426505
925,redeeming,1,0.13820231850862746
1089,sums,1,0.13811935374514137
552,holes,3,0.13532458413151469
595,inside,1,0.1345829067801409
446,figures,1,0.13423619599141687
718,memories,1,0.1334057096893553
160,bored,3,0.13298131877213462
129,bearable,1,0.13244127409027967
693,lowest,1,0.13181336805032656
1112,terrorists,1,0.13112524248774474
214,cheap,3,0.13067100059749343
628,kids,3,0.1284823744797998
64,amazons,1,0.1254257314375475
770,nod,1,0.125247873135504
1106,teenagers,2,0.12456006162236023
1284,worst,14,0.12454604673146487
629,kill,5,0.12449322732059309
876,premise,5,0.12445648250645594
1156,total,3,0.12332863340371947
1275,wonder,1,0.12298783471839367
894,proves,1,0.12208571521415364
113,b,3,0.12001680929493048
632,kills,2,0.11974884080774774
82,appear,1,0.11706766391920981
578,ill,4,0.11693869289018506
1195,underwhelming,1,0.11622892201755261
900,quit,1,0.1146988580150856
166,bother,5,0.11381018018196368
364,em,1,0.11369437954005918
627,kid,2,0.11236152078950984
198,cash,3,0.111521466233649
496,goos,1,0.1113904917102033
829,pay,2,0.11093792969083681
266,cover,1,0.10869415843943554
859,poker,1,0.10834285042299574
790,old,7,0.10816623139650104
480,garbage,5,0.10505550124705736
643,laugh,1,0.10470768630791792
1281,works,5,0.10412536806116472
419,failed,1,0.10342281822729499
692,low,3,0.10313183489830213
909,read,6,0.10302149799713967
1283,worse,7,0.10211075051957433
411,experience,1,0.10172544462597341
657,levity,1,0.10151351795944083
950,ridiculous,5,0.1014152160930925
107,awareness,1,0.10124272573288481
345,dreadful,1,0.10123308920385923
580,immersive,1,0.10008337942326388
1179,turning,1,0.0998145345742846
1072,stuck,4,0.09959209832327122
1280,work,8,0.09930876819310183
136,believe,5,0.09900671649761038
240,comedic,1,0.09845332668207255
28,810,1,0.09842403914131727
796,opinion,3,0.09766491283455798
938,renting,1,0.09762889160010567
855,plot,41,0.09744903822468297
921,record,1,0.09691246992239289
220,choose,1,0.09641374770251986
1250,ways,1,0.0957049054087041
968,safely,1,0.09557702700133684
1176,trying,3,0.0952680482999258
253,concept,8,0.09504599202508573
731,minute,1,0.09391949505367371
350,dulled,1,0.09316634759330408
544,hiddleston,2,0.09268026935234394
789,okish,3,0.0924340674626171
893,proved,1,0.09240850619620877
1111,terrorist,1,0.09214645437762671
1017,sliced,1,0.09126950613533098
334,doe,1,0.09109637800390565
140,bet,1,0.09078138754524084
1189,unbelievable,1,0.090023920642848
267,cracked,1,0.0898477825302643
862,politician,1,0.08975812735409265
1126,thing,1,0.08929163104873937
870,pratt,10,0.08919466382092267
674,load,2,0.0891419958568325
217,cheesy,1,0.08884682344617156
1163,travel,2,0.08828268232319221
767,nightmare,1,0.08821160408777867
212,characters,4,0.0881441010606035
252,conceit,1,0.08807898613742171
1265,wife,2,0.08715542471222226
991,sense,3,0.08669811827005151
697,main,1,0.08639940173577003
722,messy,1,0.08599040056362935
933,remember,1,0.085966779263451
695,made,1,0.08595999282251694
453,find,7,0.08563408549237203
814,paid,4,0.08498614254442428
256,confusing,1,0.08470261866851372
469,forgotten,1,0.08408331054077829
396,events,1,0.08396917330468583
488,glasses,1,0.08301602313414688
115,baccarat,1,0.08297704310075603
1161,trappings,1,0.08282742448614974
771,nonexciting,1,0.08173908816953415
703,marvellous,1,0.08124231595897623
1046,star,4,0.08107484147729699
1131,thisspoilers,1,0.08096479318411447
575,ideas,1,0.08093873769141482
570,huntchase,1,0.08078514269884157
525,hard,1,0.08075233178780905
1135,thoughtldr,1,0.08073958003963988
1015,slasher,1,0.07996032424308566
992,sent,1,0.07922884103258875
338,dozen,1,0.07837974216338492
757,near,5,0.078344810209238
631,killing,2,0.0782779680623377
206,change,3,0.07825989729823744
638,lack,1,0.07763400927666975
464,fly,1,0.07632059155046464
1236,wannabe,1,0.07542885266310145
167,bothered,2,0.07529207520538832
111,awkward,1,0.07515002891192187
597,instead,10,0.07458485850738732
634,kingsmen,1,0.07456463450437482
884,print,2,0.07420241408586425
443,fi,3,0.0741280826547139
1102,talking,1,0.07412562317120537
724,midway,1,0.07396003304230983
764,new,3,0.0738132703457992
35,absurd,1,0.07373943187199943
592,indescribably,1,0.07366450278198892
633,king,2,0.072898827032069
97,atmospheric,1,0.07211870299376325
454,finding,1,0.07152788003036503
1180,turns,1,0.0713414014144205
247,compared,2,0.07018268688276032
148,bland,1,0.0694007825845728
713,meant,1,0.06916318824590012
630,killed,1,0.06916284714939827
1058,stop,1,0.06910011963709459
611,item,2,0.06832862447810291
1108,telling,1,0.06820766433961378
275,crying,1,0.06807512333430957
532,head,3,0.06718781973545317
614,jacksons,1,0.06695092840600653
944,resonance,1,0.0667959502128382
219,choice,1,0.06609556855805879
706,massive,1,0.06593348460686128
598,intelligence,1,0.06590272676949929
319,digital,1,0.06562495095365133
910,real,5,0.06550097942533697
100,audience,1,0.0652460273443037
539,helicopters,2,0.06445417335174441
1003,shoot,2,0.06439054608939658
105,award,1,0.06401078218125852
830,paying,2,0.06387293480734837
934,reminiscent,1,0.06366563642112939
328,discernable,1,0.06267047333586565
535,hearted,1,0.06239910739815897
1241,wasnt,1,0.06214785961015143
79,app,1,0.062130862751752294
1020,slwed,1,0.061687838365870586
311,diabolical,1,0.06134753783865703
856,plots,1,0.06113729516035622
392,escapism,1,0.060717970361506814
24,4star,1,0.06056064350126144
245,common,1,0.06056035953078809
649,left,2,0.060490665591699126
675,loads,2,0.060311008656267595
273,crucial,1,0.059948763080777435
1192,understands,1,0.05980359428972296
664,likely,2,0.05963510549035757
196,cars,1,0.059343541451994095
149,blindly,1,0.05807336806815366
834,perceived,1,0.05787726910327439
13,2049,1,0.057791384392499
1210,usa,1,0.057580601222013576
1289,writer,1,0.05701518626164171
702,marketing,1,0.05688990500583335
516,hadnt,1,0.0562330017798526
112,awkwardly,2,0.05613653594912168
255,concussion,1,0.05591122762508171
943,resent,1,0.05585894810550403
690,lovefilm,1,0.055798736024502395
412,explain,1,0.05570787253151702
497,gorgeous,1,0.05501141006436615
845,piece,1,0.054171558424066575
1249,way,9,0.053963003611525305
63,amazon,13,0.05379693318504035
313,dialogues,1,0.05352907870333483
800,ordered,1,0.05317812184182914
1055,steve,1,0.05311892771753394
89,arse,1,0.052717739483601256
1177,turgid,1,0.0524239975948198
208,changing,1,0.051814248789726014
738,money,17,0.05126393328404931
294,defiant,1,0.050764190208071776
15,2h15,1,0.05031581866558978
1262,wholesome,1,0.05001591524438404
401,exceptional,1,0.049683587487745116
696,mail,1,0.04956191367635457
397,eventually,1,0.04943983795830598
229,clichs,1,0.04934987163332244
997,shadow,1,0.04918882851645814
399,exactly,2,0.049167860590259224
914,reasonable,2,0.04867548707595765
361,effort,1,0.04849315393072353
821,particularly,1,0.0483669124406978
916,reccomend,1,0.0480545488776297
398,exact,1,0.04794269031170026
16,2hrs,1,0.04753268565296876
673,liveaction,1,0.04742943515323149
288,days,1,0.04739602976806093
600,intense,1,0.04727344320269382
440,fetched,2,0.04695571163402244
1257,were,1,0.046796330097949826
286,daughters,1,0.0462319473909758
159,books,2,0.046026605168676966
432,favourite,3,0.04600279083410588
511,gritty,1,0.04582414830619047
1297,youdavid,1,0.04560855023588352
235,co,1,0.04536110125341153
847,pilots,1,0.04501093847297249
27,70,1,0.0449691329295898
234,clue,1,0.044752869906880294
142,big,3,0.04461074246451905
309,device,1,0.044389266327011116
907,ray,1,0.04404360431551327
164,boss,1,0.04347098961739153
603,interesting,2,0.043317699732330746
685,lot,2,0.0431566544032078
158,book,8,0.042337101714928445
1278,word,1,0.04229525386773133
322,disapointing,1,0.04218657156896432
651,legged,1,0.04212223323909377
151,blu,1,0.041671886770561696
754,narrative,1,0.041560091521606383
1129,thisit,1,0.04153053814353659
1264,wick,1,0.04124994424026956
1043,spoon,1,0.04098444401047096
871,pre,1,0.040839338441040665
312,dialogue,5,0.040657389220808984
577,ignore,1,0.03939671537029261
1018,slow,17,0.03918637781097715
1107,tell,1,0.03917027332007362
1200,unimpressed,1,0.03879357171009812
560,horse,1,0.03874535598834826
659,liams,1,0.03849233271894375
298,delivered,2,0.0384833627748709
434,feature,1,0.0384570257106974
154,blurry,3,0.03833157964634932
972,say,1,0.038287765346370115
644,laughter,1,0.037739737023116324
827,pathetic,1,0.03747555541970732
326,disappointment,2,0.03727589511723336
362,effortsand,1,0.037162282731465386
851,planes,1,0.036885900207610664
517,half,3,0.0367694175668505
231,close,1,0.03660822001231863
1272,withforwithin,1,0.03655902129014322
330,distinctly,1,0.036486919329948034
230,climate,1,0.03642953183749871
305,deserved,1,0.036114905842718745
1060,stopping,2,0.03579652836629634
57,allows,1,0.035511875752604435
949,revisiting,1,0.03520590396300898
1010,simple,1,0.035101309515772734
988,seenawaste,1,0.03504780887245007
279,cut,1,0.034991337822539055
903,rare,1,0.03499052988660881
637,kudos,1,0.03497340455050823
502,grandson,3,0.03486184399075664
1009,similarities,1,0.03475040709867855
11,2017,1,0.03472990776308963
152,blunt,1,0.034657142371157086
545,high,1,0.03432789137184502
857,plus,1,0.03427383122014119
1298,your,2,0.03424009636849823
238,combination,1,0.03415702905896226
445,fight,4,0.0341317010865133
10,2015,1,0.03390634713291687
1228,vin,1,0.03385654767472548
1213,usually,1,0.03364650017610381
1000,sharper,1,0.03362701228804455
163,borrowed,1,0.0336233246756083
1001,shocking,1,0.03359596291526575
296,deflated,1,0.03329927533012087
961,run,1,0.033282565452385594
538,helicopter,1,0.03312750451268285
389,episodes,1,0.03303218349841115
200,cast,3,0.032982096643270696
489,glories,1,0.03287838728256343
1293,xxx,1,0.0328131541776872
316,diesel,1,0.03267835533174172
222,cinema,1,0.03262085980994015
283,daniel,2,0.0325195637014569
465,focus,1,0.032248900480170324
390,equal,1,0.03222827186780328
289,dead,1,0.032146693623180476
665,likemen,1,0.0319494682293219
895,provoking,1,0.03180499721198442
1120,themway,1,0.03172763601761165
730,mins,1,0.03162804109447912
652,lesson,1,0.0315661379560331
22,45,1,0.03146534086307295
143,bin,1,0.03124787962600966
94,ass,1,0.031186212836924743
922,red,2,0.0311381877736227
124,bank,1,0.03102926857588795
761,nerves,1,0.030631714549310442
591,incredibly,1,0.030582676659360843
918,recognition,1,0.030535234342240557
593,indiana,1,0.030424072311301512
180,budget,1,0.030359675873245714
587,in,3,0.030141341167267455
1233,wach,1,0.030037512822394263
354,earlier,1,0.0298545460330772
650,legacy,1,0.029647527708049477
736,momentsworth,1,0.02957944368933267
1033,special,8,0.029523598569123788
1140,till,1,0.02933452148868121
